;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
0;AAR253;Аффективный_прайминг 0.0;194.5;30.891752577319586;29.822164948453608;30.194909793814432;0.3848582474226804;0.16752577319587628;-0.12415979381443298;255.0979381443299;127.90979381443299;181.87786855670103;48.74227319587629;2.820829896907217;2.584430412371134;2.6730309278350513;0.07626804123711341;2.8402061855670104;0.0;0.3402061855670103;4.158417525773196;197.63144329896906;0.0;3.863541237113402;2.5961881443298966;3.0474175257731955;0.24443041237113403;534.2524639175258;2.4677525773195876;40128.55025773196;1023.8067010309278;92.62542268041238;112.1501969087289;84.95378670169278;82.97094428353148;83.37440887791168;4.5500149300387145;0.5571031217134892;0.3413294879748858;190.93036379797522;93.3732174303248;115.77382918617535;63.29710567681687;1.5708036643287802;1.0140819235149738;1.0423189977630865;0.2108429380029458;3.5692096938278386;0.0;1.6147677519625472;3.1135293484270137;141.48016265464528;0.0;3.0405416865501302;0.3796709144376649;0.43708129424617215;0.18232575215687746;2318.2931545233314;6.247179327586726;61658.216377092154;1694.3810990424172;15.839022642037865
1;AAR253;Висконсинский_тест 0.1;44.0;70.4367816091954;67.60919540229885;69.10919540229885;1.3299655172413793;0.4482758620689655;-0.31571264367816093;443.3448275862069;135.2528735632184;268.35811494252874;116.30168965517242;4.03503448275862;3.1303678160919546;3.5351609195402296;0.35178160919540225;5.551724137931035;0.0;0.7816091954022989;2.3725862068965515;301.67816091954023;0.0;5.2747701149425295;2.068747126436782;3.5450574712643674;0.5301494252873562;1382.3054597701146;66.36697701149424;191585.816091954;2372.5287356321837;93.21716091954023;25.25866188063018;103.32480973028979;101.51381579953689;102.21202954754797;6.972926489242412;0.6242878862157281;0.5207517577602322;124.09456517775456;59.64082774970411;69.22018780395312;57.466104360969354;0.513657619392435;0.23793237826443556;0.3326046914590051;0.19190776765350712;4.65247776118963;0.0;3.4789242100754856;0.6095885297653587;136.66105536103694;0.0;0.8221192509711888;0.6458313772723911;0.31478469409326687;0.1896559632313225;1326.382915772973;72.38200140019023;71092.36486934293;1851.7848199813873;7.230739556362359
2;AAR253;Задача Дери-Ливальда 0.0;83.5;86.855421686747;85.43975903614458;86.14759036144578;0.7078313253012049;0.4939759036144578;-0.466078313253012;340.28915662650604;251.93373493975903;289.4870542168675;33.28802409638554;2.2903373493975905;2.1139819277108436;2.2020000000000004;0.07528915662650604;2.1566265060240966;0.0;0.3253012048192771;1.8211927710843372;285.34939759036143;0.0;4.103795180722892;1.8661445783132529;2.6564337349397587;0.5914096385542169;2101.9276987951803;10133.733090361446;38565.159638554214;1426.9518072289156;49.07851807228916;48.064193186473716;110.68422268889702;109.18133089360633;109.7424708271568;6.509238106175837;0.525091483536452;0.5055336693036003;395.54183872852053;395.00975263053755;388.5942935365609;57.73550149987303;1.5395234034427938;1.4171802454720648;1.4628010946209475;0.19323686392269548;3.045043375163399;0.0;0.9982825704899361;1.7244959805277937;394.1528371071746;0.0;3.6971054927417852;1.008865857467863;1.160837453113926;0.6875484077484613;6211.20031676689;37313.725080173026;72580.48646375464;1583.5465520507648;40.56707367949842
3;AAR253;Методика НПА 0.0;13.5;34.96153846153846;18.153846153846153;25.115384615384617;7.158461538461538;0.19230769230769232;-0.06988461538461538;81.34615384615384;59.38461538461539;67.60576923076923;6.028615384615384;0.7289230769230769;0.6628846153846154;0.6958076923076922;0.019076923076923078;0.6538461538461539;0.2692307692307692;0.0;0.6956923076923076;70.3076923076923;20095.26923076923;1.463076923076923;0.7278846153846152;1.0482692307692307;0.1762692307692308;2304.9429615384615;63.340500000000006;27502.21153846154;1219.7307692307693;4.004423076923077;7.648529270389178;121.29121345562697;56.979780489357665;78.82351269669573;36.5011350719188;0.6336706254344299;0.27615275872937817;220.08179248773712;189.93853256737074;196.54539136134588;23.017864580498205;1.5344287516356547;1.3940248872074867;1.457838482664819;0.08149450193819116;2.365456534241248;0.7243033788512827;0.0;1.8747124530280534;200.042949234562;94374.55136234881;2.405153249555245;1.2337983409592694;1.6732811014935252;0.3940441150624947;11269.800932778146;225.6860115378443;100875.75479402105;3313.8443724193485;9.62201860805965
4;AAR253;Многозадачность 0.1;256.5;79.62890625;78.26171875;78.968423828125;0.590732421875;0.388671875;-0.36416796875;115.119140625;89.080078125;100.88663671875;11.74187109375;0.7607011718749999;0.7331796875;0.748654296875;0.01154296875;0.384765625;0.0;0.013671875;0.540037109375;106.529296875;0.0;2.7440390624999997;1.2051875;1.9493593750000002;0.577533203125;2175.701845703125;46039.505511718744;9494.81640625;884.4921875;11.167798828125001;147.94593607125543;125.79436433407614;124.18885096452674;124.66155720277679;7.701811343402132;0.526507335480778;0.4860679076736397;344.5589759828867;279.43693636084265;296.5684299914306;92.97544969889272;1.4637952315807783;1.4160271174644976;1.4397573057406432;0.0739579540819728;1.0990132310155152;0.0;0.1923400897556242;1.1761704769260324;338.1044881875676;0.0;2.560270174106681;1.3921855545850572;1.8285828139265323;0.801093816117816;32652.567935624662;391128.78018502187;30306.139418079405;844.2127030562071;21.251676858175305
5;AAR253;Переключение_задач 0.0;184.0;39.7275204359673;39.26158038147139;39.42415803814714;0.21469209809264306;0.23978201634877383;-0.23083106267029974;52.525885558583106;43.63215258855586;46.16744141689374;2.865079019073569;0.30733787465940055;0.2871171662125341;0.2978855585831063;0.008861035422343323;0.18256130790190736;0.0;0.01907356948228883;0.2591689373297003;52.275204359673026;0.0;1.9779019073569482;0.935068119891008;1.3454877384196184;0.40660490463215265;341.0493732970027;17324.254596730243;5625.055858310627;641.5367847411444;5.397013623978202;106.088013774727;85.94881486137781;85.09106160932288;85.28528000285988;4.112908921057642;0.4462937311119248;0.42312386127857865;185.27707433317883;152.44396391062978;155.3186819411665;28.440472279627745;0.9139842313444421;0.8593176858075682;0.8849513635387696;0.07873632959334642;0.9677425598859846;0.0;0.3653970256803163;0.858645619129949;185.06461140484242;0.0;2.4643539729537123;1.3501014971934708;1.6691704245732393;0.7129115812694582;1633.0910852634947;91032.93631668655;29541.004981480583;852.5235975026872;10.255172488169515
6;AAR253;Стоп-сигнал 0.0;148.5;34.479729729729726;33.222972972972975;33.851351351351354;0.6283783783783784;0.14527027027027026;-0.1375641891891892;33.2027027027027;27.79391891891892;30.50281418918919;2.58835472972973;0.3306689189189189;0.32240878378378374;0.32638513513513506;0.004040540540540541;0.12162162162162163;0.0;0.0;0.230902027027027;30.925675675675677;0.0;1.4953006756756757;0.8816351351351351;1.1705371621621619;0.22019932432432432;1954.5056114864863;7122.1512770270265;5547.9375;641.2263513513514;6.428489864864865;85.59205570612264;100.21201048452443;96.2563541161914;97.657503542573;10.81103040317519;0.3624463882196731;0.34678907173173823;113.82841440024553;100.17040445658984;105.31611465125621;19.614791776093444;1.0759070490285563;1.056390162157072;1.064540308357213;0.049152323376073954;0.42634283022803726;0.0;0.0;0.8292562977258063;109.30049335204093;0.0;2.2631794301416956;1.484000187987784;1.7824783181139947;0.5249421380216379;23671.725924969774;64409.12344561319;17006.46785631206;763.3641817737565;18.645500377081902
7;AAR253;Тест Саймона 0.1;15.5;18.3;4.533333333333333;8.916666666666666;5.542666666666666;0.13333333333333333;0.006;23.5;3.0;7.624533333333333;5.0328;0.1286;0.08466666666666667;0.10056666666666667;0.0125;0.6333333333333333;0.0;0.36666666666666664;0.0285;6.966666666666667;0.0;0.33533333333333337;0.16016666666666665;0.21309999999999998;0.017766666666666667;15643.732866666665;40.954166666666666;15351.933333333332;2212.3333333333335;0.6907;8.803408430829505;100.23322802344543;24.830089273567538;48.83859471087729;30.358435620653005;0.7302967433402213;0.03286335345030997;128.71480101371404;16.431676725154983;41.76128897116721;27.565780874119994;0.7043712089516437;0.46373843202104076;0.5508263186643619;0.06846531968814576;3.468909530866052;0.0;2.0083160441856087;0.1561009288889723;38.15800483952656;0.0;1.3532947874019157;0.6549473305137798;0.8115748993416314;0.09731204105008448;85684.25374658291;224.31520907159495;83298.52019463545;6040.52876386881;3.7831197046881835
8;AAR253;Тест Струпа 0.1;20.5;12.3;6.775;9.5375;2.7625;0.05;0.0032500000000000003;98.825;2.15;41.765;42.323674999999994;0.12645;0.070825;0.092875;0.020874999999999998;0.125;0.0;0.0;0.008175;98.825;0.0;0.174875;0.032875;0.08965;0.034975;859.26945;0.5301750000000001;8129.4125;3410.175;0.085375;11.69045194450012;77.79203044014213;42.84886229528154;60.320446367711824;17.471584072430296;0.31622776601683794;0.020554804791094464;625.0241795322802;13.597793938724033;264.1450529538647;267.67842389745385;0.7997400202565831;0.4479366305628509;0.5873930753762765;0.13202509231202986;0.7905694150420949;0.0;0.0;0.05170323974375301;625.0241795322802;0.0;1.1060066116438907;0.20791975615607095;0.5669963844681903;0.22120132232877815;5434.497171600341;3.353121116959541;51414.91907808715;8596.488322647234;0.5399589104737508
9;AAR253;Фланкер 0.1;51.5;8.068627450980392;3.823529411764706;6.681372549019608;1.684627450980392;0.058823529411764705;-0.01780392156862745;47.14705882352941;0.803921568627451;13.344764705882353;16.006333333333334;0.07083333333333333;0.029990196078431373;0.04581372549019608;0.01638235294117647;0.058823529411764705;0.0;0.0;0.002705882352941177;15.137254901960784;0.0;0.6933235294117648;0.4342156862745098;0.5671764705882353;0.10415686274509803;193.31398039215685;9.17299019607843;1467.7941176470588;831.6862745098039;0.5140098039215686;29.588849251026982;60.39314429060124;22.458944618136282;47.07303095873486;17.01390326047679;0.4179992280954716;0.14077311562751937;476.1619534174825;8.119209852408733;134.77551704833883;161.65604254506965;0.7153815998006468;0.3028861333965648;0.4626959468329997;0.16545365443140236;0.5940885257860045;0.0;0.0;0.027328072186156214;152.87878063559845;0.0;2.0959811009359055;1.3886639253517343;1.6994037184414916;0.47046700508455264;1904.8089780480534;52.30679787040446;13239.233001278566;2393.504158765463;2.283256088624219
